=== SZIMULÁCIÓ INDUL ===
Variáns: Felgyorsított + fordított
Meccsek száma: 600
Játék 1/600 kész, eddig: Kezdő=1, Második=0, Döntetlen=0
Játék 2/600 kész, eddig: Kezdő=2, Második=0, Döntetlen=0
Játék 3/600 kész, eddig: Kezdő=3, Második=0, Döntetlen=0
Játék 4/600 kész, eddig: Kezdő=4, Második=0, Döntetlen=0
Játék 5/600 kész, eddig: Kezdő=5, Második=0, Döntetlen=0
Játék 6/600 kész, eddig: Kezdő=6, Második=0, Döntetlen=0
Játék 7/600 kész, eddig: Kezdő=7, Második=0, Döntetlen=0
Játék 8/600 kész, eddig: Kezdő=8, Második=0, Döntetlen=0
Játék 9/600 kész, eddig: Kezdő=9, Második=0, Döntetlen=0
Játék 10/600 kész, eddig: Kezdő=10, Második=0, Döntetlen=0
Játék 11/600 kész, eddig: Kezdő=11, Második=0, Döntetlen=0
Játék 12/600 kész, eddig: Kezdő=12, Második=0, Döntetlen=0
Játék 13/600 kész, eddig: Kezdő=12, Második=1, Döntetlen=0
Játék 14/600 kész, eddig: Kezdő=13, Második=1, Döntetlen=0
Játék 15/600 kész, eddig: Kezdő=14, Második=1, Döntetlen=0
Játék 16/600 kész, eddig: Kezdő=15, Második=1, Döntetlen=0
Játék 17/600 kész, eddig: Kezdő=15, Második=2, Döntetlen=0
Játék 18/600 kész, eddig: Kezdő=16, Második=2, Döntetlen=0
Játék 19/600 kész, eddig: Kezdő=17, Második=2, Döntetlen=0
Játék 20/600 kész, eddig: Kezdő=18, Második=2, Döntetlen=0
Játék 21/600 kész, eddig: Kezdő=18, Második=3, Döntetlen=0
Játék 22/600 kész, eddig: Kezdő=19, Második=3, Döntetlen=0
Játék 23/600 kész, eddig: Kezdő=19, Második=4, Döntetlen=0
Játék 24/600 kész, eddig: Kezdő=19, Második=5, Döntetlen=0
Játék 25/600 kész, eddig: Kezdő=19, Második=6, Döntetlen=0
Játék 26/600 kész, eddig: Kezdő=20, Második=6, Döntetlen=0
Játék 27/600 kész, eddig: Kezdő=21, Második=6, Döntetlen=0
Játék 28/600 kész, eddig: Kezdő=22, Második=6, Döntetlen=0
Játék 29/600 kész, eddig: Kezdő=23, Második=6, Döntetlen=0
Játék 30/600 kész, eddig: Kezdő=24, Második=6, Döntetlen=0
Játék 31/600 kész, eddig: Kezdő=25, Második=6, Döntetlen=0
Játék 32/600 kész, eddig: Kezdő=26, Második=6, Döntetlen=0
Játék 33/600 kész, eddig: Kezdő=27, Második=6, Döntetlen=0
Játék 34/600 kész, eddig: Kezdő=28, Második=6, Döntetlen=0
Játék 35/600 kész, eddig: Kezdő=29, Második=6, Döntetlen=0
Játék 36/600 kész, eddig: Kezdő=30, Második=6, Döntetlen=0
Játék 37/600 kész, eddig: Kezdő=30, Második=7, Döntetlen=0
Játék 38/600 kész, eddig: Kezdő=31, Második=7, Döntetlen=0
Játék 39/600 kész, eddig: Kezdő=31, Második=8, Döntetlen=0
Játék 40/600 kész, eddig: Kezdő=32, Második=8, Döntetlen=0
Játék 41/600 kész, eddig: Kezdő=33, Második=8, Döntetlen=0
Játék 42/600 kész, eddig: Kezdő=33, Második=9, Döntetlen=0
Játék 43/600 kész, eddig: Kezdő=33, Második=10, Döntetlen=0
Játék 44/600 kész, eddig: Kezdő=34, Második=10, Döntetlen=0
Játék 45/600 kész, eddig: Kezdő=35, Második=10, Döntetlen=0
Játék 46/600 kész, eddig: Kezdő=36, Második=10, Döntetlen=0
Játék 47/600 kész, eddig: Kezdő=37, Második=10, Döntetlen=0
Játék 48/600 kész, eddig: Kezdő=38, Második=10, Döntetlen=0
Játék 49/600 kész, eddig: Kezdő=39, Második=10, Döntetlen=0
Játék 50/600 kész, eddig: Kezdő=40, Második=10, Döntetlen=0
Játék 51/600 kész, eddig: Kezdő=41, Második=10, Döntetlen=0
Játék 52/600 kész, eddig: Kezdő=42, Második=10, Döntetlen=0
Játék 53/600 kész, eddig: Kezdő=42, Második=11, Döntetlen=0
Játék 54/600 kész, eddig: Kezdő=43, Második=11, Döntetlen=0
Játék 55/600 kész, eddig: Kezdő=44, Második=11, Döntetlen=0
Játék 56/600 kész, eddig: Kezdő=45, Második=11, Döntetlen=0
