=== SZIMULÁCIÓ INDUL ===
Variáns: Felgyorsított + fordított
Meccsek száma: 1000
Játék 1/1000 kész, eddig: Kezdő=0, Második=1, Döntetlen=0
Játék 2/1000 kész, eddig: Kezdő=1, Második=1, Döntetlen=0
Játék 3/1000 kész, eddig: Kezdő=2, Második=1, Döntetlen=0
Játék 4/1000 kész, eddig: Kezdő=3, Második=1, Döntetlen=0
Játék 5/1000 kész, eddig: Kezdő=4, Második=1, Döntetlen=0
Játék 6/1000 kész, eddig: Kezdő=5, Második=1, Döntetlen=0
Játék 7/1000 kész, eddig: Kezdő=6, Második=1, Döntetlen=0
Játék 8/1000 kész, eddig: Kezdő=7, Második=1, Döntetlen=0
Játék 9/1000 kész, eddig: Kezdő=8, Második=1, Döntetlen=0
Játék 10/1000 kész, eddig: Kezdő=9, Második=1, Döntetlen=0
Játék 11/1000 kész, eddig: Kezdő=10, Második=1, Döntetlen=0
Játék 12/1000 kész, eddig: Kezdő=11, Második=1, Döntetlen=0
Játék 13/1000 kész, eddig: Kezdő=12, Második=1, Döntetlen=0
Játék 14/1000 kész, eddig: Kezdő=13, Második=1, Döntetlen=0
Játék 15/1000 kész, eddig: Kezdő=14, Második=1, Döntetlen=0
Játék 16/1000 kész, eddig: Kezdő=15, Második=1, Döntetlen=0
Játék 17/1000 kész, eddig: Kezdő=16, Második=1, Döntetlen=0
Játék 18/1000 kész, eddig: Kezdő=17, Második=1, Döntetlen=0
Játék 19/1000 kész, eddig: Kezdő=17, Második=2, Döntetlen=0
Játék 20/1000 kész, eddig: Kezdő=18, Második=2, Döntetlen=0
Játék 21/1000 kész, eddig: Kezdő=19, Második=2, Döntetlen=0
Játék 22/1000 kész, eddig: Kezdő=20, Második=2, Döntetlen=0
Játék 23/1000 kész, eddig: Kezdő=21, Második=2, Döntetlen=0
Játék 24/1000 kész, eddig: Kezdő=22, Második=2, Döntetlen=0
Játék 25/1000 kész, eddig: Kezdő=22, Második=3, Döntetlen=0
Játék 26/1000 kész, eddig: Kezdő=23, Második=3, Döntetlen=0
Játék 27/1000 kész, eddig: Kezdő=24, Második=3, Döntetlen=0
Játék 28/1000 kész, eddig: Kezdő=24, Második=4, Döntetlen=0
Játék 29/1000 kész, eddig: Kezdő=24, Második=5, Döntetlen=0
Játék 30/1000 kész, eddig: Kezdő=25, Második=5, Döntetlen=0
Játék 31/1000 kész, eddig: Kezdő=26, Második=5, Döntetlen=0
Játék 32/1000 kész, eddig: Kezdő=26, Második=6, Döntetlen=0
Játék 33/1000 kész, eddig: Kezdő=26, Második=7, Döntetlen=0
Játék 34/1000 kész, eddig: Kezdő=27, Második=7, Döntetlen=0
Játék 35/1000 kész, eddig: Kezdő=28, Második=7, Döntetlen=0
Játék 36/1000 kész, eddig: Kezdő=28, Második=8, Döntetlen=0
Játék 37/1000 kész, eddig: Kezdő=28, Második=9, Döntetlen=0
Játék 38/1000 kész, eddig: Kezdő=29, Második=9, Döntetlen=0
Játék 39/1000 kész, eddig: Kezdő=30, Második=9, Döntetlen=0
Játék 40/1000 kész, eddig: Kezdő=31, Második=9, Döntetlen=0
Játék 41/1000 kész, eddig: Kezdő=32, Második=9, Döntetlen=0
Játék 42/1000 kész, eddig: Kezdő=33, Második=9, Döntetlen=0
Játék 43/1000 kész, eddig: Kezdő=33, Második=10, Döntetlen=0
Játék 44/1000 kész, eddig: Kezdő=33, Második=11, Döntetlen=0
