=== SZIMULÁCIÓ INDUL ===
Variáns: Felgyorsított + fordított
Meccsek száma: 1000
Játék 1/1000 kész, eddig: Kezdő=1, Második=0, Döntetlen=0
Játék 2/1000 kész, eddig: Kezdő=2, Második=0, Döntetlen=0
Játék 3/1000 kész, eddig: Kezdő=2, Második=1, Döntetlen=0
Játék 4/1000 kész, eddig: Kezdő=3, Második=1, Döntetlen=0
Játék 5/1000 kész, eddig: Kezdő=3, Második=2, Döntetlen=0
Játék 6/1000 kész, eddig: Kezdő=4, Második=2, Döntetlen=0
Játék 7/1000 kész, eddig: Kezdő=5, Második=2, Döntetlen=0
Játék 8/1000 kész, eddig: Kezdő=5, Második=3, Döntetlen=0
Játék 9/1000 kész, eddig: Kezdő=6, Második=3, Döntetlen=0
Játék 10/1000 kész, eddig: Kezdő=6, Második=4, Döntetlen=0
Játék 11/1000 kész, eddig: Kezdő=7, Második=4, Döntetlen=0
Játék 12/1000 kész, eddig: Kezdő=8, Második=4, Döntetlen=0
Játék 13/1000 kész, eddig: Kezdő=8, Második=5, Döntetlen=0
Játék 14/1000 kész, eddig: Kezdő=9, Második=5, Döntetlen=0
Játék 15/1000 kész, eddig: Kezdő=10, Második=5, Döntetlen=0
Játék 16/1000 kész, eddig: Kezdő=11, Második=5, Döntetlen=0
Játék 17/1000 kész, eddig: Kezdő=12, Második=5, Döntetlen=0
Játék 18/1000 kész, eddig: Kezdő=13, Második=5, Döntetlen=0
Játék 19/1000 kész, eddig: Kezdő=13, Második=6, Döntetlen=0
Játék 20/1000 kész, eddig: Kezdő=14, Második=6, Döntetlen=0
Játék 21/1000 kész, eddig: Kezdő=15, Második=6, Döntetlen=0
Játék 22/1000 kész, eddig: Kezdő=16, Második=6, Döntetlen=0
Játék 23/1000 kész, eddig: Kezdő=17, Második=6, Döntetlen=0
Játék 24/1000 kész, eddig: Kezdő=18, Második=6, Döntetlen=0
Játék 25/1000 kész, eddig: Kezdő=19, Második=6, Döntetlen=0
Játék 26/1000 kész, eddig: Kezdő=20, Második=6, Döntetlen=0
Játék 27/1000 kész, eddig: Kezdő=20, Második=7, Döntetlen=0
Játék 28/1000 kész, eddig: Kezdő=20, Második=8, Döntetlen=0
Játék 29/1000 kész, eddig: Kezdő=21, Második=8, Döntetlen=0
Játék 30/1000 kész, eddig: Kezdő=22, Második=8, Döntetlen=0
