=== SZIMULÁCIÓ INDUL ===
Variáns: Felgyorsított + fordított
Meccsek száma: 200
Játék 1/200 kész, eddig: Kezdő=1, Második=0, Döntetlen=0
Játék 2/200 kész, eddig: Kezdő=2, Második=0, Döntetlen=0
Játék 3/200 kész, eddig: Kezdő=3, Második=0, Döntetlen=0
Játék 4/200 kész, eddig: Kezdő=4, Második=0, Döntetlen=0
Játék 5/200 kész, eddig: Kezdő=5, Második=0, Döntetlen=0
Játék 6/200 kész, eddig: Kezdő=6, Második=0, Döntetlen=0
Játék 7/200 kész, eddig: Kezdő=7, Második=0, Döntetlen=0
Játék 8/200 kész, eddig: Kezdő=8, Második=0, Döntetlen=0
Játék 9/200 kész, eddig: Kezdő=9, Második=0, Döntetlen=0
Játék 10/200 kész, eddig: Kezdő=10, Második=0, Döntetlen=0
Játék 11/200 kész, eddig: Kezdő=11, Második=0, Döntetlen=0
Játék 12/200 kész, eddig: Kezdő=11, Második=1, Döntetlen=0
Játék 13/200 kész, eddig: Kezdő=12, Második=1, Döntetlen=0
Játék 14/200 kész, eddig: Kezdő=13, Második=1, Döntetlen=0
Játék 15/200 kész, eddig: Kezdő=14, Második=1, Döntetlen=0
Játék 16/200 kész, eddig: Kezdő=15, Második=1, Döntetlen=0
Játék 17/200 kész, eddig: Kezdő=16, Második=1, Döntetlen=0
Játék 18/200 kész, eddig: Kezdő=16, Második=2, Döntetlen=0
Játék 19/200 kész, eddig: Kezdő=16, Második=3, Döntetlen=0
Játék 20/200 kész, eddig: Kezdő=17, Második=3, Döntetlen=0
Játék 21/200 kész, eddig: Kezdő=17, Második=4, Döntetlen=0
Játék 22/200 kész, eddig: Kezdő=18, Második=4, Döntetlen=0
Játék 23/200 kész, eddig: Kezdő=19, Második=4, Döntetlen=0
Játék 24/200 kész, eddig: Kezdő=20, Második=4, Döntetlen=0
Játék 25/200 kész, eddig: Kezdő=21, Második=4, Döntetlen=0
Játék 26/200 kész, eddig: Kezdő=22, Második=4, Döntetlen=0
Játék 27/200 kész, eddig: Kezdő=23, Második=4, Döntetlen=0
Játék 28/200 kész, eddig: Kezdő=24, Második=4, Döntetlen=0
Játék 29/200 kész, eddig: Kezdő=24, Második=5, Döntetlen=0
Játék 30/200 kész, eddig: Kezdő=25, Második=5, Döntetlen=0
Játék 31/200 kész, eddig: Kezdő=25, Második=6, Döntetlen=0
Játék 32/200 kész, eddig: Kezdő=26, Második=6, Döntetlen=0
Játék 33/200 kész, eddig: Kezdő=27, Második=6, Döntetlen=0
Játék 34/200 kész, eddig: Kezdő=27, Második=7, Döntetlen=0
Játék 35/200 kész, eddig: Kezdő=28, Második=7, Döntetlen=0
Játék 36/200 kész, eddig: Kezdő=29, Második=7, Döntetlen=0
Játék 37/200 kész, eddig: Kezdő=30, Második=7, Döntetlen=0
Játék 38/200 kész, eddig: Kezdő=30, Második=8, Döntetlen=0
Játék 39/200 kész, eddig: Kezdő=31, Második=8, Döntetlen=0
Játék 40/200 kész, eddig: Kezdő=32, Második=8, Döntetlen=0
Játék 41/200 kész, eddig: Kezdő=33, Második=8, Döntetlen=0
Játék 42/200 kész, eddig: Kezdő=34, Második=8, Döntetlen=0
Játék 43/200 kész, eddig: Kezdő=34, Második=9, Döntetlen=0
Játék 44/200 kész, eddig: Kezdő=35, Második=9, Döntetlen=0
Játék 45/200 kész, eddig: Kezdő=36, Második=9, Döntetlen=0
Játék 46/200 kész, eddig: Kezdő=37, Második=9, Döntetlen=0
Játék 47/200 kész, eddig: Kezdő=37, Második=10, Döntetlen=0
Játék 48/200 kész, eddig: Kezdő=38, Második=10, Döntetlen=0
Játék 49/200 kész, eddig: Kezdő=39, Második=10, Döntetlen=0
Játék 50/200 kész, eddig: Kezdő=40, Második=10, Döntetlen=0
Játék 51/200 kész, eddig: Kezdő=40, Második=11, Döntetlen=0
Játék 52/200 kész, eddig: Kezdő=41, Második=11, Döntetlen=0
Játék 53/200 kész, eddig: Kezdő=41, Második=12, Döntetlen=0
Játék 54/200 kész, eddig: Kezdő=42, Második=12, Döntetlen=0
Játék 55/200 kész, eddig: Kezdő=43, Második=12, Döntetlen=0
Játék 56/200 kész, eddig: Kezdő=43, Második=13, Döntetlen=0
